Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006,1,1,0,30,7.4,23,316,43,7,7.4,23,82,7,28,100,86.39,0.12,893,0.9,247,1.9,0,0
2006,1,1,1,30,6.3,0,0,0,7,6.3,0,0,0,0,100,97.62,0.12,893,0.7,248,1.1,0,0
2006,1,1,2,30,6,0,0,0,7,6,0,0,0,0,100,109.31,0.12,894,0.6,233,0.9,0,0
2006,1,1,3,30,5.6,0,0,0,7,5.6,0,0,0,0,100,121.43,0.12,894,0.6,222,0.9,0,0
2006,1,1,4,30,5.2,0,0,0,7,5.2,0,0,0,0,100,133.76,0.12,894,0.6,226,0.9,0,0
2006,1,1,5,30,5,0,0,0,8,5,0,0,0,0,100,146.09,0.12,895,0.6,234,0.9,0,0
2006,1,1,6,30,4.8,0,0,0,0,4.8,0,0,0,0,100,157.91,0.12,895,0.7,240,0.8,0,0
2006,1,1,7,30,4.6,0,0,0,0,4.6,0,0,0,0,100,167.21,0.12,895,0.7,235,0.7,0,0
2006,1,1,8,30,4.3,0,0,0,7,4.3,0,0,0,0,100,166.52,0.12,895,0.7,223,0.6,0,0
2006,1,1,9,30,4.2,0,0,0,7,4.2,0,0,0,0,100,156.71,0.12,895,0.8,215,0.5,0,0
2006,1,1,10,30,4.3,0,0,0,8,4.3,0,0,0,0,100,144.79,0.12,895,0.8,210,0.5,0,0
2006,1,1,11,30,4.4,0,0,0,7,4.4,0,0,0,0,100,132.45,0.12,894,0.9,211,0.7,0,0
2006,1,1,12,30,4.4,0,0,0,8,4.4,0,0,0,0,100,120.12,0.12,894,1,214,0.9,0,0
2006,1,1,13,30,4.3,0,0,0,7,4.3,0,0,0,0,100,108.04,0.12,894,1,203,0.9,0,0
2006,1,1,14,30,4.2,0,0,0,7,4.2,0,0,0,0,100,96.39,0.12,894,1,183,0.9,0,0
2006,1,1,15,30,4.8,28,367,58,7,4.8,29,45,7,33,100,85.28,0.12,895,1,167,1.2,0,0
2006,1,1,16,30,5.6,55,694,229,7,5.6,101,139,0,136,100,75.46,0.12,895,1.1,165,1.6,6.6242,5.0865
2006,1,1,17,30,6.5,67,824,388,8,6.5,45,0,0,45,100,67.1,0.12,896,1.3,175,2.2,2.3615,1.8346
2006,1,1,18,30,7.2,74,878,501,6,6.9,161,6,0,163,98.18,60.93,0.12,895,1.5,173,2.7,8.9364,6.9759
2006,1,1,19,30,7.9,77,897,557,6,6.5,60,0,0,60,91.14,57.67,0.12,893,1.7,162,3,3.3509,2.6203
2006,1,1,20,30,8.5,75,897,552,7,5.8,30,0,0,30,83.06,57.84,0.12,892,1.9,160,3.1,1.674,1.3089
2006,1,1,21,30,8.4,68,874,487,8,4.9,29,0,0,29,78.79,61.4,0.12,892,2,161,3.3,1.5853,1.2371
2006,1,1,22,30,7.8,61,810,367,8,5.1,133,6,0,135,82.83,67.82,0.12,892,2,157,3.4,7.0428,5.4675
2006,1,1,23,30,7.4,47,680,208,7,5.6,14,0,0,14,88.45,76.35,0.12,891,2,153,3.3,0.677,0.519
2006,1,2,0,30,6.4,21,336,43,7,6.1,13,0,7,13,97.95,86.26,0.12,891,2,155,3.4,0,0
2006,1,2,1,30,6.1,0,0,0,7,6.1,0,0,0,0,100,97.48,0.12,891,2,158,3.6,0,0
2006,1,2,2,30,6.2,0,0,0,8,6.2,0,0,0,0,100,109.18,0.12,891,1.9,161,4.3,0,0
2006,1,2,3,30,6.8,0,0,0,1,6.8,0,0,0,0,100,121.29,0.12,891,1.8,169,5,0,0
2006,1,2,4,30,7.6,0,0,0,0,7.6,0,0,0,0,100,133.63,0.12,891,1.6,177,5,0,0
2006,1,2,5,30,8.2,0,0,0,3,8.2,0,0,0,0,100,145.95,0.12,891,1.5,184,5.2,0,0
2006,1,2,6,30,8.7,0,0,0,1,8.7,0,0,0,0,100,157.77,0.12,891,1.5,190,5.3,0,0
2006,1,2,7,30,8.8,0,0,0,4,8.8,0,0,0,0,100,167.09,0.12,890,1.5,192,5.4,0,0
2006,1,2,8,30,8.9,0,0,0,8,8.9,0,0,0,0,100,166.5,0.12,890,1.4,191,5.7,0,0
2006,1,2,9,30,9,0,0,0,8,9,0,0,0,0,100,156.75,0.12,889,1.4,189,6,0,0
2006,1,2,10,30,9.1,0,0,0,8,9.1,0,0,0,0,100,144.84,0.12,889,1.4,187,6.4,0,0
2006,1,2,11,30,9,0,0,0,8,9,0,0,0,0,100,132.51,0.12,888,1.5,185,6.9,0,0
2006,1,2,12,30,8.9,0,0,0,7,8.9,0,0,0,0,100,120.18,0.12,887,1.6,182,7.3,0,0
2006,1,2,13,30,8.7,0,0,0,7,8.7,0,0,0,0,100,108.08,0.12,887,1.7,180,7.7,0,0
2006,1,2,14,30,8.5,0,0,0,6,8.5,0,0,0,0,100,96.43,0.12,887,1.8,178,8.2,0,0
2006,1,2,15,30,8.5,26,356,55,6,8.5,17,0,7,17,100,85.31,0.12,888,1.9,179,8.6,0,0
2006,1,2,16,30,8.9,51,685,223,7,8.9,62,0,0,62,100,75.47,0.12,888,1.9,182,9,3.0196,2.3186
2006,1,2,17,30,9.3,65,810,381,7,9.3,20,0,0,20,100,67.09,0.12,889,1.9,191,9.4,1.0496,0.8155
2006,1,2,18,30,9.3,82,847,495,6,9.3,101,0,0,101,100,60.88,0.12,889,1.7,202,9.5,5.539,4.3239
2006,1,2,19,30,8.9,90,870,556,8,8.9,10,0,0,10,100,57.6,0.12,889,1.5,208,9,0.5587,0.4369
2006,1,2,20,30,8.6,96,858,554,8,8.6,202,21,0,213,100,57.74,0.12,889,1.3,210,8.7,11.8915,9.2985
2006,1,2,21,30,8.5,108,778,482,8,8.5,88,0,0,88,100,61.28,0.12,889,1.2,213,8.7,4.8141,3.7572
2006,1,2,22,30,7.8,89,730,367,7,7.6,20,0,7,20,98.81,67.69,0.12,890,1.1,218,8.5,1.0445,0.811
2006,1,2,23,30,7.3,65,600,208,4,6.7,7,0,0,7,95.77,76.21,0.12,890,1.1,221,8.1,0.3389,0.2599
2006,1,3,0,30,5.9,28,224,43,1,5.9,28,224,0,43,100,86.12,0.12,892,1.1,221,6.1,0,0
2006,1,3,1,30,5.6,0,0,0,4,5.6,0,0,0,0,100,97.34,0.12,893,1.1,223,5.5,0,0
2006,1,3,2,30,5.5,0,0,0,4,5.5,0,0,0,0,100,109.04,0.12,894,1.1,228,4.9,0,0
2006,1,3,3,30,5.3,0,0,0,1,5.3,0,0,0,0,100,121.16,0.12,895,1.1,234,4.2,0,0
2006,1,3,4,30,4.9,0,0,0,4,4.9,0,0,0,0,100,133.49,0.12,897,1,239,3.5,0,0
2006,1,3,5,30,4.3,0,0,0,1,4.3,0,0,0,0,100,145.81,0.12,897,0.9,243,2.9,0,0
2006,1,3,6,30,3.9,0,0,0,1,3.9,0,0,0,0,100,157.63,0.12,898,0.9,247,2.5,0,0
2006,1,3,7,30,3.5,0,0,0,1,3.5,0,0,0,0,100,166.96,0.12,898,0.8,251,2.1,0,0
2006,1,3,8,30,2.9,0,0,0,1,2.9,0,0,0,0,100,166.47,0.12,899,0.7,253,1.8,0,0
2006,1,3,9,30,2.3,0,0,0,1,2.3,0,0,0,0,100,156.78,0.12,899,0.6,255,1.5,0,0
2006,1,3,10,30,1.9,0,0,0,0,1.9,0,0,0,0,100,144.89,0.12,899,0.6,263,1.2,0,0
2006,1,3,11,30,1.6,0,0,0,0,1.6,0,0,0,0,100,132.56,0.12,899,0.5,283,0.9,0,0
2006,1,3,12,30,1.5,0,0,0,0,1.5,0,0,0,0,100,120.23,0.12,899,0.5,301,0.7,0,0
2006,1,3,13,30,1.4,0,0,0,0,1.4,0,0,0,0,100,108.13,0.12,900,0.5,292,0.6,0,0
2006,1,3,14,30,1.6,0,0,0,7,1.6,0,0,0,0,100,96.46,0.12,901,0.5,287,0.4,0,0
2006,1,3,15,30,2.6,28,393,60,8,2.6,29,129,7,39,100,85.32,0.12,902,0.5,324,0.5,0,0
2006,1,3,16,30,4.2,55,721,236,1,3.9,55,721,0,236,97.6,75.47,0.12,903,0.6,323,0.7,11.494,8.8256
2006,1,3,17,30,5.9,67,860,402,0,3.7,67,860,0,402,85.76,67.06,0.12,904,0.6,286,1.2,21.1029,16.3954
2006,1,3,18,30,7.8,70,934,525,0,2.9,70,934,0,525,71.35,60.83,0.12,904,0.6,285,2,28.8005,22.4834
2006,1,3,19,30,9.6,72,953,584,0,1.6,72,953,0,584,57.47,57.51,0.12,903,0.7,297,2.5,32.6432,25.528
2006,1,3,20,30,10.7,70,957,583,0,0.1,70,957,0,583,47.78,57.63,0.12,902,0.7,311,2.5,32.5668,25.4668
2006,1,3,21,30,10.8,70,922,515,0,-0.5,70,922,0,515,45.69,61.15,0.12,902,0.7,328,2,28.1964,22.0075
2006,1,3,22,30,10.1,64,852,389,3,-0.8,136,418,0,296,46.85,67.54,0.12,901,0.8,185,1.1,15.4777,12.0193
2006,1,3,23,30,9.5,49,729,224,7,0.8,54,601,0,199,54.53,76.07,0.12,901,0.8,31,0.5,9.6446,7.3974
2006,1,4,0,30,6.1,23,394,50,4,1.5,25,52,7,28,72.15,85.98,0.12,902,0.8,304,0.9,0,0
2006,1,4,1,30,4.2,0,0,0,0,0.8,0,0,0,0,78.49,97.2,0.12,903,0.8,313,1.2,0,0
2006,1,4,2,30,3.3,0,0,0,0,0.5,0,0,0,0,82.14,108.9,0.12,904,0.8,333,1.2,0,0
2006,1,4,3,30,2.6,0,0,0,1,0.2,0,0,0,0,84.09,121.02,0.12,904,0.8,346,1.2,0,0
2006,1,4,4,30,2.1,0,0,0,3,-0.2,0,0,0,0,84.97,133.35,0.12,904,0.8,351,1.2,0,0
2006,1,4,5,30,1.7,0,0,0,8,-0.5,0,0,0,0,85.59,145.67,0.12,904,0.9,352,1.3,0,0
2006,1,4,6,30,1.5,0,0,0,4,-0.7,0,0,0,0,85.57,157.48,0.12,904,1,353,1.4,0,0
2006,1,4,7,30,1.5,0,0,0,3,-0.9,0,0,0,0,83.78,166.82,0.12,904,1.1,179,1.6,0,0
2006,1,4,8,30,2.2,0,0,0,1,-1.4,0,0,0,0,77.18,166.44,0.12,904,1.1,8,1.8,0,0
2006,1,4,9,30,3.3,0,0,0,7,-1.4,0,0,0,0,71.33,156.81,0.12,903,1.2,14,2.1,0,0
2006,1,4,10,30,4,0,0,0,8,-1,0,0,0,0,69.95,144.94,0.12,903,1.3,17,2.2,0,0
2006,1,4,11,30,4,0,0,0,7,-0.5,0,0,0,0,72.26,132.61,0.12,903,1.4,19,2.3,0,0
2006,1,4,12,30,3.9,0,0,0,8,-0.3,0,0,0,0,73.99,120.27,0.12,903,1.4,21,2.5,0,0
2006,1,4,13,30,3.8,0,0,0,7,-0.2,0,0,0,0,75.02,108.17,0.12,904,1.4,27,2.8,0,0
2006,1,4,14,30,4.4,0,0,0,1,-0.3,0,0,0,0,71.77,96.49,0.12,904,1.4,34,3.4,0,0
2006,1,4,15,30,6.2,24,431,59,0,-0.4,24,431,0,59,62.45,85.33,0.12,905,1.3,41,4.3,0,0
2006,1,4,16,30,8.8,46,743,232,0,-0.6,46,743,0,232,51.56,75.46,0.12,906,1.3,45,4.8,11.3001,8.6769
2006,1,4,17,30,11.5,57,863,394,1,-0.4,57,863,0,394,43.77,67.03,0.12,906,1.3,46,5,20.688,16.0735
2006,1,4,18,30,13.8,64,921,514,7,-0.3,225,161,0,304,37.96,60.77,0.12,905,1.2,47,5,16.6829,13.0242
2006,1,4,19,30,15.3,67,943,575,7,-0.4,155,620,0,489,34.31,57.42,0.12,905,1.2,48,5,27.3459,21.3862
2006,1,4,20,30,16,69,939,573,7,-0.4,180,537,0,469,32.65,57.51,0.12,904,1.2,49,4.9,26.2151,20.5011
2006,1,4,21,30,15.8,70,902,507,7,-0.4,213,273,0,345,33.08,61.01,0.12,904,1.2,51,4.8,18.9052,14.7569
2006,1,4,22,30,14.9,63,845,387,4,-0.2,165,197,0,241,35.53,67.4,0.12,904,1.1,51,4.5,12.6163,9.7986
2006,1,4,23,30,14.2,50,713,223,4,0.7,91,247,0,151,39.69,75.92,0.12,905,1.1,51,4.2,7.327,5.6214
2006,1,5,0,30,10.3,24,373,51,7,1.1,26,117,7,34,52.75,85.84,0.12,905,1,49,3.7,0,0
2006,1,5,1,30,9.2,0,0,0,7,0.8,0,0,0,0,55.53,97.05,0.12,906,1,48,4.2,0,0
2006,1,5,2,30,8.8,0,0,0,7,0.7,0,0,0,0,56.64,108.75,0.12,906,1,47,4.5,0,0
2006,1,5,3,30,8.6,0,0,0,7,0.6,0,0,0,0,57.31,120.87,0.12,907,1,47,4.5,0,0
2006,1,5,4,30,8.4,0,0,0,7,0.5,0,0,0,0,57.37,133.21,0.12,907,0.9,46,4.4,0,0
2006,1,5,5,30,8.1,0,0,0,4,0.2,0,0,0,0,57.6,145.53,0.12,907,0.9,46,4.3,0,0
2006,1,5,6,30,7.9,0,0,0,4,0,0,0,0,0,57.57,157.33,0.12,907,0.8,45,4.3,0,0
2006,1,5,7,30,7.8,0,0,0,7,-0.1,0,0,0,0,57.42,166.68,0.12,906,0.8,44,4.4,0,0
2006,1,5,8,30,7.6,0,0,0,1,-0.1,0,0,0,0,58.08,166.39,0.12,906,0.8,43,4.6,0,0
2006,1,5,9,30,7.6,0,0,0,3,-0.1,0,0,0,0,58.3,156.83,0.12,906,0.8,43,4.7,0,0
2006,1,5,10,30,7.6,0,0,0,1,-0.1,0,0,0,0,58.33,144.98,0.12,906,0.8,42,4.9,0,0
2006,1,5,11,30,7.6,0,0,0,1,-0.2,0,0,0,0,57.73,132.65,0.12,906,0.8,42,5,0,0
2006,1,5,12,30,7.6,0,0,0,0,-0.4,0,0,0,0,56.77,120.31,0.12,906,0.8,41,5.1,0,0
2006,1,5,13,30,7.6,0,0,0,0,-0.8,0,0,0,0,55.38,108.2,0.12,906,0.8,42,5.2,0,0
2006,1,5,14,30,7.9,0,0,0,1,-1.2,0,0,0,0,52.77,96.51,0.12,906,0.8,43,5.4,0,0
2006,1,5,15,30,9.2,23,466,61,7,-1.4,29,139,7,40,47.53,85.34,0.12,907,0.8,43,5.8,0,0
2006,1,5,16,30,11.6,44,774,239,4,-1.2,92,278,0,162,40.98,75.45,0.12,907,0.8,44,6.1,7.8913,6.0595
2006,1,5,17,30,14.3,55,892,404,0,-1,55,892,0,404,34.88,66.99,0.12,907,0.8,48,6.3,21.2199,16.4874
2006,1,5,18,30,16.5,65,937,524,0,-1.6,65,937,0,524,28.95,60.7,0.12,907,0.8,53,6.2,28.7684,22.46
2006,1,5,19,30,17.8,69,959,587,0,-2.2,69,959,0,587,25.64,57.32,0.12,906,0.8,54,5.7,32.8432,25.6867
2006,1,5,20,30,18.3,71,954,585,0,-2.6,71,954,0,585,24.14,57.38,0.12,905,0.8,55,5.3,32.7212,25.5905
2006,1,5,21,30,18,67,933,521,0,-2.6,67,933,0,521,24.54,60.87,0.12,904,0.8,53,4.9,28.5741,22.3061
2006,1,5,22,30,16.7,61,869,397,0,-2.1,61,869,0,397,27.67,67.25,0.12,904,0.8,50,4.5,20.8083,16.1635
2006,1,5,23,30,15.7,50,733,230,7,-0.9,67,501,0,190,32.09,75.77,0.12,904,0.8,48,4.2,9.2306,7.0838
2006,1,6,0,30,12.7,24,416,55,3,-0.9,27,77,7,32,39.03,85.69,0.12,904,0.8,48,4.5,0,0
2006,1,6,1,30,11.6,0,0,0,3,-1.2,0,0,0,0,41.17,96.9,0.12,904,0.8,47,4.7,0,0
2006,1,6,2,30,11,0,0,0,4,-1.3,0,0,0,0,42.31,108.61,0.12,904,0.8,46,4.8,0,0
2006,1,6,3,30,10.6,0,0,0,7,-1.4,0,0,0,0,43.11,120.73,0.12,904,0.8,47,4.7,0,0
2006,1,6,4,30,10.2,0,0,0,8,-1.6,0,0,0,0,43.6,133.07,0.12,904,0.8,47,4.5,0,0
2006,1,6,5,30,9.8,0,0,0,1,-1.9,0,0,0,0,43.96,145.38,0.12,903,0.8,48,4.2,0,0
2006,1,6,6,30,9.3,0,0,0,0,-2.1,0,0,0,0,44.72,157.18,0.12,903,0.7,48,4,0,0
2006,1,6,7,30,9,0,0,0,3,-2.3,0,0,0,0,44.94,166.53,0.12,903,0.7,48,3.9,0,0
2006,1,6,8,30,8.7,0,0,0,3,-2.5,0,0,0,0,45.2,166.34,0.12,903,0.6,48,3.8,0,0
2006,1,6,9,30,8.3,0,0,0,7,-2.7,0,0,0,0,45.81,156.85,0.12,902,0.6,47,3.8,0,0
2006,1,6,10,30,7.8,0,0,0,0,-2.8,0,0,0,0,47.03,145.01,0.12,902,0.5,47,3.7,0,0
2006,1,6,11,30,7.4,0,0,0,0,-2.9,0,0,0,0,47.99,132.69,0.12,902,0.5,49,3.8,0,0
2006,1,6,12,30,7.1,0,0,0,1,-3.1,0,0,0,0,48.13,120.35,0.12,902,0.5,50,3.7,0,0
2006,1,6,13,30,6.9,0,0,0,0,-3.3,0,0,0,0,48.31,108.23,0.12,902,0.5,52,3.5,0,0
2006,1,6,14,30,7.3,0,0,0,1,-3.4,0,0,0,0,46.63,96.53,0.12,902,0.4,53,3.6,0,0
2006,1,6,15,30,9.1,24,491,64,1,-3.4,24,491,0,64,41.14,85.34,0.12,902,0.4,52,4.1,0,0
